⚠ /testimonials/ | live=8 clone=10 | missing 7: azure-banner-mobile-home_updated.webp, azure_administration.svg, azure_security_engineer.svg, azure_solution_architect.svg, mirosoft_certified_trainer.svg, testimonial_arc.webp, gj_garner.png
⚠ /contact-us/ | live=4 clone=2 | missing 3: oval-bg.webp, contact-us-1.webp, scale-your-business-with-.png
  /thank-you/ | live=4 clone=2 | missing 2: thankyou-right-image.png, azure-offices-map-img.webp
  /blog/ | live=2 clone=2 | missing 1: azure-offices-map-img.webp
  / | live=7 clone=48 | missing 0
  /about-us/ | live=3 clone=10 | missing 0
  /ai-agents/ | live=3 clone=3 | missing 0
  /ai-agents/ai-powered-ticketing-and-customer-service-agent/ | live=8 clone=36 | missing 0
  /ai-agents/it-asset-management-agent/ | live=7 clone=36 | missing 0
  /ai-agents/kubemonitor-agent/ | live=7 clone=36 | missing 0
  /ai-agents/smartexpense-agent/ | live=7 clone=36 | missing 0
  /ai-powered-solutions/ | live=7 clone=40 | missing 0
  /ai-powered-solutions/copilot-for-recruitment/ | live=7 clone=36 | missing 0
  /ai-scenario-library/ | live=13 clone=52 | missing 0
  /ai-scenario-library/copilot-in-retail/ | live=7 clone=41 | missing 0
  /ai-scenario-library/finance/ | live=8 clone=38 | missing 0
  /ai-scenario-library/human-resources/ | live=7 clone=37 | missing 0
  /automated-data-reporting/ | live=2 clone=13 | missing 0
  /azure-automated-data-reporting-for-slb/ | live=3 clone=11 | missing 0
  /azure-cloud-service/ | live=6 clone=42 | missing 0
  /azure-data-analytics/ | live=4 clone=63 | missing 0
  /azure-data-analytics/agriculture-data-analytics/ | live=7 clone=36 | missing 0
  /azure-data-analytics/data-visualization-as-a-service/ | live=7 clone=58 | missing 0
  /azure-data-analytics/manufacturing-data-analytics/ | live=9 clone=44 | missing 0
  /azure-data-analytics/retail-analytics/ | live=13 clone=39 | missing 0
  /azure-data-analytics/supply-chain-analytics/ | live=9 clone=47 | missing 0
  /azure-for-construction/ | live=3 clone=27 | missing 0
  /azure-for-healthcare/ | live=2 clone=35 | missing 0
  /azure-for-logistics-and-transport/ | live=2 clone=41 | missing 0
  /azure-for-manufacturing/ | live=3 clone=34 | missing 0
  /azure-for-retail/ | live=3 clone=42 | missing 0
  /azure-managed-services/ | live=6 clone=36 | missing 0
  /case-studies/ | live=5 clone=16 | missing 0
  /case-studies/agentic-hr-policy-feedback-update-and-reporting-solution/ | live=2 clone=19 | missing 0
  /case-studies/microsoft-copilot-studio-based-hr-policy-agent/ | live=2 clone=11 | missing 0
  /case-studies/popcorn-producer-intellifabric-dashboards/ | live=2 clone=20 | missing 0
  /case-study-slider-for-mobile/ | live=3 clone=5 | missing 0
  /city-university-azure/ | live=2 clone=9 | missing 0
  /client-success-story/ | live=1 clone=11 | missing 0
  /cookie-policy/ | live=2 clone=5 | missing 0
  /copilot-implementation-food-verification/ | live=2 clone=12 | missing 0
  /copilotsolutions/ | live=3 clone=3 | missing 0
  /daraz/ | live=2 clone=13 | missing 0
  /data-integration-as-a-service/ | live=7 clone=38 | missing 0
  /data-science-ai/ | live=7 clone=43 | missing 0
  /data-science-ai/microsoft-copilot-consulting/ | live=9 clone=31 | missing 0
  /data-warehousing-as-a-service/ | live=7 clone=35 | missing 0
  /implementing-power-bi-dashboard-for-food-crop-grower/ | live=2 clone=10 | missing 0
  /microsoft-fabric-reporting-for-real-estate/ | live=3 clone=12 | missing 0
  /microsoft-fabric-services/ | live=4 clone=46 | missing 0
  /microsoft-fabric-services/microsoft-fabric-migration/ | live=8 clone=32 | missing 0
  /microsoft-licensing-process/ | live=4 clone=9 | missing 0
  /microsoft-power-platform-services/ | live=2 clone=63 | missing 0
  /power-bi-financial-reporting-for-alibaba/ | live=3 clone=11 | missing 0
  /power-bi-services/ | live=3 clone=70 | missing 0
  /privacy-policy/ | live=2 clone=5 | missing 0
  /savills/ | live=2 clone=11 | missing 0
  /services/ | live=2 clone=16 | missing 0
  /solution/ | live=3 clone=3 | missing 0
  /solution/intellifabric/ | live=8 clone=40 | missing 0
